"","Time","Pressure","Compass1","Compass2","Compass3","AccelSway","Sway.g.","AccelSurge","Surge.g.","AccelHeave","Heave.g.","Temperature","Gyro1","Gyro2","Gyro3","Accel1","Accel2","Accel3","Temp2","Light","TempExt","ODBA","Time","Behavior","Comments","feeding"
"218",19.83403333,-0.5432819577,546,558,341,-2592,-0.31640625,-7536,-0.919921875,-2000,-0.244140625,960,502,-32,-1095,4160,16716,-4480,62720,3500,20.4375,-0.030598958,19:50:42,"Right turn",NA,0
"219",19.83405,-0.5459137563,73,99,1480,-3184,-0.388671875,-7104,-0.8671875,-528,-0.064453125,960,-508,-913,360,7244,15036,-752,62720,3500,20.4375,0.0859375,19:50:43,"Straight swim",NA,0
"220",19.83406667,-0.5389283605,347,117,1386,-2400,-0.29296875,-8304,-1.013671875,-256,-0.03125,960,201,892,149,7968,14356,-1484,62720,3500,20.4375,-0.111979167,19:50:44,"Swallow",NA,1
"221",19.83408333,-0.5375142597,334,139,1355,-2064,-0.251953125,-7440,-0.908203125,1184,0.14453125,960,-67,-346,-6,3808,15160,2216,62736,3500,20.5,0.011067708,19:50:45,"Swallow",NA,1
"222",19.8341,-0.5382147633,347,141,1355,-2096,-0.255859375,-7376,-0.900390625,624,0.076171875,960,-158,-318,124,4580,16000,1808,62736,3500,20.5,0.031901042,19:50:46,"Swallow",NA,1
"223",19.83411667,-0.5305419574,354,143,1352,-2992,-0.365234375,-8096,-0.98828125,288,0.03515625,960,89,52,-39,4676,16476,952,62720,3500,20.5,0.022135417,19:50:47,"Swallow",NA,1
"224",19.83413333,-0.5276679286,342,200,1357,-2064,-0.251953125,-8016,-0.978515625,-96,-0.01171875,960,111,483,132,5324,14688,940,62720,3500,20.5,-0.102213542,19:50:48,"Feed",NA,1
"225",19.83415,-0.5229149789,348,209,1352,-2096,-0.255859375,-7280,-0.888671875,-112,-0.013671875,960,32,-110,-137,3564,16424,848,62736,3500,20.5,-0.0078125,19:50:49,"Straight swim",NA,0
"226",19.83416667,-0.5338546194,330,159,1357,-1264,-0.154296875,-7840,-0.95703125,864,0.10546875,960,-356,-685,-117,1668,17624,3256,62736,3500,20.5625,0.154947917,19:50:50,"Straight swim",NA,0
"227",19.83418333,-0.5174549788,323,163,1361,-1456,-0.177734375,-7664,-0.935546875,96,0.01171875,960,-212,-335,-47,2784,15664,572,62752,3500,20.5625,0.06640625,19:50:51,"Feed",NA,1
"228",19.8342,-0.5234256264,331,127,1353,-1296,-0.158203125,-7088,-0.865234375,1232,0.150390625,960,-50,14,-73,2012,14928,3036,62688,3500,20.625,0.013020833,19:50:52,"Feed",NA,1
"229",19.83421667,-0.5370887201,350,117,1354,-3232,-0.39453125,-7248,-0.884765625,2272,0.27734375,960,90,206,-25,6848,14748,4896,62736,3500,20.625,0.006510417,19:50:53,"Lturn while feed",NA,1
"230",19.83423333,-0.5393080727,349,121,1358,-1872,-0.228515625,-6944,-0.84765625,1504,0.18359375,960,-100,-136,55,4332,14784,4340,62736,3500,20.6875,0.018229167,19:50:54,"Lturn while feed",NA,1
